gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO
29	FBgn0035076	1771.23782773843	-1.03742396991931	0.269845117749488	-3.84451636024189	0.000120790426854924	0.00639784942910662	-1	Ance-5	Ance-5	FBgn0035076	NM_133164	37980	GO:0005615|GO:0005886|GO:0008237|GO:0008241
30	FBgn0035143	48.720362968906	3.15687679665709	0.727506362656818	4.33931159739734	1.42929742133822e-05	0.00133040265122945	1	Ppm1	Ppm1	FBgn0035143	NM_138195	38071	GO:0004721|GO:0004722|GO:0005575|GO:0006470|GO:0006470|GO:0043169
31	FBgn0035281	272.972777929971	3.17103569135018	0.980810607163197	3.23307646572235	0.00122464778279392	0.031103386402271	1	Cpr62Bc	Cuticular protein 62Bc	FBgn0035281	NM_001274364	38241	GO:0008010|GO:0031012|GO:0040003|GO:0062129
32	FBgn0035308	212.514011874405	1.30413444467982	0.217552184675164	5.99458215796396	2.04009306965985e-09	1.12284948560105e-06	1	CG15822	uncharacterized protein	FBgn0035308	NM_001144400	38273	GO:0005546|GO:0010314|GO:0032266|GO:0043325|GO:0070273|GO:0080025
33	FBgn0035316	23.044409722646	-1.33031866187453	0.378694707690121	-3.51290534264109	0.000443235352722089	0.0158949471107902	-1	CG15878	uncharacterized protein	FBgn0035316	NM_139442	38281	GO:0003674|GO:0005575|GO:0008150
34	FBgn0035398	297.118039967449	1.72728660678964	0.427150680629248	4.04374073393756	5.26050892619593e-05	0.00345040323817172	1	Cht7	Chitinase 7	FBgn0035398	NM_139511	38370	GO:0004568|GO:0005576|GO:0005975|GO:0006032|GO:0006032|GO:0008061|GO:0018990|GO:0040003|GO:0042060
35	FBgn0035427	110.259127098169	1.29105077723522	0.364897521476728	3.53811879020274	0.000402988715273622	0.0148251773361345	1	ckd	cracked	FBgn0035427	NM_139539	38402	GO:0005576|GO:0008061
36	FBgn0035429	6.8886213012834	5.01594024189265	1.53318437506496	3.27158319864832	0.0010694711591982	0.0288638488424674	1	CG12017	uncharacterized protein	FBgn0035429	NM_001259666	38404	NA
37	FBgn0035665	255.066961657574	7.57548418995971	1.47102123513565	5.14981293880584	2.60746382402287e-07	6.34767010544337e-05	1	Jon65Aiii	Jonah 65Aiii	FBgn0035665	NM_139756	38683	GO:0004175|GO:0004252|GO:0004252|GO:0006508|GO:0006508|GO:0017171
38	FBgn0035918	50.5081447784665	1.8671171489767	0.44348802834245	4.21007339466435	2.55287741779244e-05	0.00195859849889906	1	Cdc6	Cdc6	FBgn0035918	NM_139990	38989	GO:0003688|GO:0005634|GO:0005634|GO:0006270|GO:0033314|GO:0051301
39	FBgn0035921	356.945266020783	1.52528951365875	0.40650534872774	3.7522003546387	0.000175289284659249	0.00823552575298502	1	CG13305	uncharacterized protein	FBgn0035921	NM_001144441	38992	NA
40	FBgn0036080	42.2469459712176	-1.07273665316081	0.346015582589526	-3.1002553270365	0.00193353887203127	0.0424942162865344	-1	Or67d	Odorant receptor 67d	FBgn0036080	NM_140133	39191	GO:0004984|GO:0005549|GO:0005886|GO:0005929|GO:0007608|GO:0007619|GO:0016021|GO:0016503|GO:0019236|GO:0032590|GO:0043695|GO:0050911|GO:0050911|GO:0071683
41	FBgn0036181	30.6069968634061	2.41086283073876	0.755235657560664	3.19219942358866	0.00141193812467256	0.0342975339711764	1	Muc68Ca	Mucin 68Ca	FBgn0036181	NM_206332	2768980	GO:0005201|GO:0031012
42	FBgn0036363	10.48014106942	3.76288338029612	1.12306482240339	3.35054869962309	0.000806516264081299	0.0237988097599188	1	CG10140	uncharacterized protein	FBgn0036363	NM_140391	39511	GO:0005576|GO:0008061
43	FBgn0036417	108.030904642639	1.13655073921879	0.228790104349856	4.96765689428954	6.77667255663813e-07	0.000113105207396298	1	CG7906	uncharacterized protein	FBgn0036417	NM_001274906	39575	NA
44	FBgn0036568	12.0366534139621	3.15353480810003	0.863933250895471	3.65020654643328	0.000262029518869623	0.0108046634507184	1	ATPsynbetaL	ATP synthase, beta subunit-like	FBgn0036568	NM_140579	39761	GO:0005524|GO:0005753|GO:0005754|GO:0008340|GO:0010155|GO:0015986|GO:0042776|GO:0045261|GO:0046933|GO:0046933|GO:0048515
45	FBgn0036585	509.752585599244	-1.29161375569546	0.26015805118289	-4.96472721033513	6.87977009994073e-07	0.000113105207396298	-1	CG13071	uncharacterized protein	FBgn0036585	NM_001202188	39781	NA
46	FBgn0036595	33.9051436681605	1.7549511009545	0.339600595032317	5.16769147824224	2.37003110487652e-07	5.88278897188861e-05	1	CG13046	uncharacterized protein	FBgn0036595	NM_140606	39791	NA
47	FBgn0036597	78.2933937253098	2.53868600824903	0.69090315998848	3.67444550158283	0.000238366513677137	0.0101618776300198	1	CG4962	uncharacterized protein	FBgn0036597	NM_140608	39793	NA
48	FBgn0036619	16942.4071695674	-1.45744167765923	0.23114537053879	-6.30530334335486	2.87630000462032e-10	2.80085244296067e-07	-1	Cpr72Ec	Cuticular protein 72Ec	FBgn0036619	NM_140627	39816	GO:0005212|GO:0005615|GO:0008010|GO:0031012|GO:0040003|GO:0062129
49	FBgn0036877	271.452769872596	-1.12246329831637	0.216864619722043	-5.17587101001093	2.26850150684278e-07	5.74339211502454e-05	-1	CG9452	uncharacterized protein	FBgn0036877	NM_140862	40119	GO:0003993|GO:0005634|GO:0016311|GO:0016311|GO:0016791|GO:0070062
50	FBgn0036881	290.538129396409	3.66220975864752	1.13113477260163	3.23764227513259	0.00120521827699404	0.0308831788529941	1	Cpr76Bd	Cuticular protein 76Bd	FBgn0036881	NM_001104175	40123	GO:0008010|GO:0031012|GO:0040003|GO:0062129
51	FBgn0037030	108.060277625804	1.60204175336692	0.390723021953547	4.10019800050939	4.12796804619341e-05	0.00285551625665368	1	CG3288	uncharacterized protein	FBgn0037030	NM_001300204	40307	NA
52	FBgn0037174	14.4950702452623	1.81782674730154	0.538791513363068	3.37389640002847	0.000741122545000154	0.0223377864218023	1	CG14457	uncharacterized protein	FBgn0037174	NM_001014600	40479	GO:0005615|GO:0005615|GO:0032504
53	FBgn0037195	15.7171857536962	-1.4372233673854	0.455912118030386	-3.15241317470226	0.00161926969877736	0.0376807630823944	-1	CG11226	uncharacterized protein	FBgn0037195	NM_141163	40501	NA
54	FBgn0037415	69.7535029368336	-1.00412408428737	0.269879809964488	-3.72063432392182	0.000198723009951958	0.00890077356088851	-1	Osi8	Osiris 8	FBgn0037415	NM_141370	40762	GO:0003674|GO:0005887|GO:0008150
55	FBgn0037419	32.410765563365	1.21814588999073	0.307126341450117	3.96626966035922	7.3006261662436e-05	0.00442194385830037	1	Osi12	Osiris 12	FBgn0037419	NM_141374	40766	GO:0003674|GO:0005887|GO:0008150
56	FBgn0038095	37.6702963896541	-1.81213623624871	0.35939240390229	-5.04222186271189	4.60157319908126e-07	9.39537340760802e-05	-1	Cyp304a1	Cyp304a1	FBgn0038095	NM_169484	41586	GO:0004497|GO:0005506|GO:0016705|GO:0020037
57	FBgn0038203	30.207502930294	-1.39736650497093	0.384804992569169	-3.63136272126135	0.000281928611751271	0.0114388919748697	-1	Or88a	Odorant receptor 88a	FBgn0038203	NM_079624	41715	GO:0004984|GO:0004984|GO:0005549|GO:0005886|GO:0016021|GO:0032590|GO:0050911|GO:0050911
58	FBgn0038466	132.147467065974	1.75466055954792	0.439346719634345	3.99379460715736	6.50241962223039e-05	0.00407495693058488	1	CG8907	uncharacterized protein	FBgn0038466	NM_001260217	42050	GO:0042048|GO:0045202
59	FBgn0038511	19.7212385396222	3.28659042676356	0.968102048583844	3.39488014881411	0.000686586493089634	0.021392314165884	1	cysu	Curly Su	FBgn0038511	NM_142370	42100	GO:0004601|GO:0006979|GO:0020037
60	FBgn0038789	17.4298706034947	-1.85582145048895	0.545975003616922	-3.39909599925763	0.00067608981241519	0.0211323973712689	-1	Ir92a	Ionotropic receptor 92a	FBgn0038789	NM_001104375	42415	GO:0004984|GO:0016020|GO:0016021|GO:0036081|GO:0050850|GO:0050911|GO:0050911|GO:0071242|GO:0071418
61	FBgn0038819	73.1849007144476	1.48138293997002	0.447383188888502	3.31121726690364	0.000928910558572852	0.0263066638947958	1	Cpr92F	Cuticular protein 92F	FBgn0038819	NM_142648	42450	GO:0008010|GO:0031012|GO:0040003|GO:0062129
62	FBgn0038846	53.4248655335274	1.17246391985157	0.272323035596012	4.30541587231315	1.66672323240006e-05	0.00146521176381613	1	CG5697	uncharacterized protein	FBgn0038846	NM_001260289	42483	NA
63	FBgn0038850	132.91131597597	-1.11948169154775	0.249495536202885	-4.48698084376712	7.22395670711444e-06	0.000781607418421895	-1	CG17279	uncharacterized protein	FBgn0038850	NM_142680	42489	GO:0005615|GO:0005615|GO:0032504
64	FBgn0038851	15.7494803753266	2.9068163991478	0.853598023162051	3.40536917878494	0.000660746628984525	0.0207553140851491	1	dmrt93B	doublesex-Mab related 93B	FBgn0038851	NM_079704	42494	GO:0000977|GO:0000978|GO:0000981|GO:0001228|GO:0005634|GO:0006357|GO:0006357|GO:0007548
65	FBgn0039027	7.5775359600826	3.83050720608585	1.20034616498146	3.19116877933709	0.00141698477501582	0.0342975339711764	1	CG7031	uncharacterized protein	FBgn0039027	NM_001300545	42704	NA
66	FBgn0039052	36.4763296397504	-1.97808096106988	0.409680789131272	-4.82834688261658	1.37671129132388e-06	0.00019151415644911	-1	CG6733	uncharacterized protein	FBgn0039052	NM_142866	42731	GO:0004046|GO:0005737|GO:0006520
67	FBgn0039155	653.123079760861	1.06727983941649	0.261231804318107	4.08556623571317	4.39694546669383e-05	0.00299252326144501	1	Kal1	Kallmann syndrome 1	FBgn0039155	NM_142963	42865	GO:0005576|GO:0009897|GO:0009986|GO:0009986|GO:0030182|GO:0030414|GO:0031012
68	FBgn0039217	24.8113462766966	3.1627014909675	0.736583872167357	4.29374251931613	1.75686210283512e-05	0.00152329570957464	1	CG13627	uncharacterized protein	FBgn0039217	NM_001300580	42941	GO:0000077|GO:0005634|GO:0006281|GO:0031151|GO:2000677
69	FBgn0003863	230.663897349449	6.18995646041625	1.99071250368296	3.10941758238038	0.00187456574850517	0.0416788995447704	1	alphaTry	alphaTrypsin	FBgn0003863	NM_057423	48316	GO:0004252|GO:0004252|GO:0006508|GO:0006508|GO:0017171
70	FBgn0003950	27.1931682749462	1.29547314292053	0.362008725403455	3.57856883553494	0.000345480880353014	0.0134761386107663	1	unc	uncoordinated	FBgn0003950	NM_001298583	33093	GO:0005814|GO:0007283|GO:0007605|GO:0007626|GO:0035869|GO:0036064|GO:0061822|GO:0061823|GO:1905515
71	FBgn0004379	81.399262313282	-1.01016959220578	0.246227803231538	-4.10258134519389	4.08566140553013e-05	0.00285551625665368	-1	Klp67A	Kinesin-like protein at 67A	FBgn0004379	NM_001274695	39068	GO:0000070|GO:0000776|GO:0003774|GO:0003774|GO:0003777|GO:0005524|GO:0005634|GO:0005634|GO:0005737|GO:0005828|GO:0005871|GO:0005871|GO:0005874|GO:0005875|GO:0005876|GO:0007018|GO:0007019|GO:0007019|GO:0007052|GO:0007054|GO:0007059|GO:0007060|GO:0007100|GO:0007110|GO:0007141|GO:0008017|GO:0008574|GO:0016346|GO:0016887|GO:0031134|GO:0051225|GO:0051231|GO:0055047|GO:0061673|GO:0072686|GO:1990023|GO:1990023
72	FBgn0004577	109.474790540227	7.28419822774988	1.63967988090927	4.44245142759847	8.89397151450683e-06	0.000892843600301968	1	Pxd	Peroxidase	FBgn0004577	NM_001170162	2768671	GO:0004601|GO:0004601|GO:0006979|GO:0007306|GO:0018149|GO:0018212|GO:0020037|GO:0042600
73	FBgn0004777	27.8412162403577	1.14856759215393	0.369625679041171	3.10738040477429	0.00188753340889847	0.0418463842788892	1	Ccp84Ag	Ccp84Ag	FBgn0004777	NM_141420	40819	GO:0008010|GO:0031012|GO:0040003|GO:0062129
74	FBgn0004782	55.6470613050368	6.02851798754892	1.46620595894714	4.11164471864368	3.92850506775646e-05	0.00277883813851031	1	Ccp84Ab	Ccp84Ab	FBgn0004782	NM_141425	40824	GO:0008010|GO:0031012|GO:0040003|GO:0062129
75	FBgn0004783	23.3952588456547	6.79860957884251	2.24052896705954	3.03437700596434	0.00241033014415106	0.0482763087685299	1	Ccp84Aa	Ccp84Aa	FBgn0004783	NM_141426	40825	GO:0008010|GO:0031012|GO:0040003|GO:0062129
76	FBgn0004959	65.8440853028903	-1.08639188280631	0.303025002999033	-3.5851559180078	0.000336876883890408	0.0132851229693728	-1	phm	phantom	FBgn0004959	NM_001298485	32857	GO:0001700|GO:0005506|GO:0005737|GO:0005783|GO:0006082|GO:0006697|GO:0006697|GO:0006805|GO:0007298|GO:0008395|GO:0016712|GO:0020037|GO:0035302|GO:0043231|GO:0048477
77	FBgn0039480	218.379247250934	4.72569165636063	1.06412357606375	4.44092374481656	8.95735344326961e-06	0.000892843600301968	1	Cpr97Ea	Cuticular protein 97Ea	FBgn0039480	NM_001276077	43258	GO:0008010|GO:0008010|GO:0040003|GO:0062129|GO:0062129
78	FBgn0039805	1111.93356932642	3.57835963021969	0.898539282739959	3.982418686591	6.82174675040033e-05	0.00423316137810381	1	Cpr100A	Cuticular protein 100A	FBgn0039805	NM_143572	43657	GO:0008010|GO:0008010|GO:0040003|GO:0062129|GO:0062129
79	FBgn0040001	156.052065528756	1.42023218258928	0.427023972537536	3.32588396419465	0.000881386123206248	0.0254580294668926	1	NA	NA	FBgn0040001	NA	NA	NA
80	FBgn0040060	413.313554012391	8.00031546330211	1.56239734481654	5.12053831238526	3.0466471019717e-07	7.08976764435465e-05	1	yip7	yippee interacting protein 7	FBgn0040060	NM_079220	38680	GO:0004252|GO:0004252|GO:0006508|GO:0006508|GO:0017171
81	FBgn0040496	94.8211999521169	2.21531891888823	0.496482625868202	4.4620270749944	8.11879647902155e-06	0.000849387145685403	1	CG17104	uncharacterized protein	FBgn0040496	NM_001273429	34465	NA
82	FBgn0040637	526.202374589539	4.90508086252402	1.31536602017543	3.72906155951164	0.00019219419975344	0.00872038127125018	1	CG11458	uncharacterized protein	FBgn0040637	NM_144026	50110	GO:0005615
83	FBgn0040817	504.265398462982	1.23403959166951	0.204793642033661	6.02577101229867	1.68305334301776e-09	1.01360835026737e-06	1	CG14132	uncharacterized protein	FBgn0040817	NM_001104116	50290	GO:0005615
84	FBgn0042207	8.22971714364172	2.27255023616366	0.678144989117549	3.35112737339676	0.000804832738920964	0.0237988097599188	1	CG18530	uncharacterized protein	FBgn0042207	NM_144457	59241	GO:0004806|GO:0006629
85	FBgn0042711	11.3813845853389	2.63512955440638	0.855784062869747	3.0791991446649	0.00207557888790133	0.0447610786063764	1	Hex-t1	Hex-t1	FBgn0042711	NM_176567	117364	GO:0001678|GO:0004340|GO:0005524|GO:0005536|GO:0005739|GO:0005829|GO:0006006|GO:0006096|GO:0008865|GO:0046835|GO:0051156
86	FBgn0046258	73.8389909555862	1.21120583242906	0.338554214677248	3.57758308690303	0.000346786002607494	0.0134761386107663	1	CG12880	uncharacterized protein	FBgn0046258	NM_143323	43328	NA
87	FBgn0046875	44.5345394085189	2.14152822755456	0.685225506532908	3.12528971431643	0.00177630020788372	0.0401539005921429	1	Obp83g	Odorant-binding protein 83g	FBgn0046875	NM_169126	170878	GO:0005549|GO:0005576|GO:0007606|GO:0007608
88	FBgn0050025	2313.03685220518	5.9607662872783	1.68313607653734	3.54146427634132	0.000397912736999313	0.0147717810488982	1	CG30025	uncharacterized protein	FBgn0050025	NM_165825	246398	GO:0004252|GO:0004252|GO:0006508|GO:0006508|GO:0017171
89	FBgn0050031	2360.87494336016	5.94980701742225	1.67867038919595	3.54435692421554	0.000393572050586491	0.0147717810488982	1	gammaTry	gammaTrypsin	FBgn0050031	NM_165823	36221	GO:0004252|GO:0004252|GO:0006508|GO:0005829|GO:0006508
90	FBgn0050045	48.4812141355468	1.82902187943275	0.541373865716889	3.37848203479633	0.00072887194687934	0.0222332288567363	1	Cpr49Aa	Cuticular protein 49Aa	FBgn0050045	NM_001103815	246413	GO:0008010|GO:0008010|GO:0040003|GO:0062129|GO:0062129
91	FBgn0050050	90.5342735289239	1.71672126513132	0.231630434950469	7.41146674226303	1.24910125374015e-13	1.75693030789962e-10	1	CG30050	uncharacterized protein	FBgn0050050	NM_165897	246417	GO:0003674|GO:0005575
92	FBgn0050289	33.2358927698718	1.38789751595843	0.403461547679995	3.43997469880138	0.000581768569995363	0.0189321550837309	1	CG30289	uncharacterized protein	FBgn0050289	NM_166459	246532	GO:0004252|GO:0004252|GO:0005615|GO:0006508
93	FBgn0050401	25.5081331868234	2.10577558613522	0.551089037969311	3.82111680880956	0.000132848707346657	0.00684090274484272	1	dany	distal antenna-young	FBgn0050401	NM_166493	246593	GO:0003677|GO:0005634|GO:0005705|GO:0005730|GO:0006357
94	FBgn0051004	76.6230518182527	2.18931498573588	0.535256955015204	4.09021305603343	4.30977108040106e-05	0.00294904822198903	1	mesh	mesh	FBgn0051004	NM_001170310	43688	GO:0005515|GO:0005615|GO:0005920|GO:0007160|GO:0016327|GO:0090528
95	FBgn0051055	17.6600840932872	1.47119797335164	0.483843412184879	3.04064897093087	0.00236068877558121	0.0477379540097165	1	CG31055	uncharacterized protein	FBgn0051055	NM_170346	318574	GO:0003674|GO:0005575|GO:0008150
96	FBgn0051076	16.0368733472406	1.64064823022227	0.47173867351331	3.477875193067	0.000505405188593489	0.0173085226176157	1	CG31076	uncharacterized protein	FBgn0051076	NM_170305	318582	NA
97	FBgn0051084	60.7633436067263	-1.743702538573	0.393142085587042	-4.43529859177833	9.19447588489909e-06	0.00090931929864795	-1	asRNA:CR31084	antisense RNA:CR31084	FBgn0051084	NR_167780	10178907	NA
98	FBgn0051131	7.4374795640719	3.50776954065368	0.917801743208137	3.82192512338495	0.000132413899431916	0.00684090274484272	1	CG31131	uncharacterized protein	FBgn0051131	NM_170364	318603	GO:0003674|GO:0005575|GO:0008150
99	FBgn0051253	7.4374795640719	3.50776954065368	0.917801743208137	3.82192512338495	0.000132413899431916	0.00684090274484272	1	CG31131	uncharacterized protein	FBgn0051253	NM_170364	318603	GO:0003674|GO:0005575|GO:0008150
100	FBgn0051407	12.7339498532708	3.4520939155338	1.07478621342163	3.21188890630065	0.00131865356630987	0.0327953546088735	1	CG31407	uncharacterized protein	FBgn0051407	NM_001300336	318716	GO:0003674|GO:0005575|GO:0008150
101	FBgn0052055	111.486290703239	1.45420546643735	0.310024975946088	4.69060746476834	2.72395113868025e-06	0.000348308055197508	1	CG32055	uncharacterized protein	FBgn0052055	NM_168402	39188	GO:0005615|GO:0031012
102	FBgn0052580	157.906581250931	-1.62272799872713	0.324888779264882	-4.99471850766542	5.89216456043709e-07	0.000106555587386533	-1	Muc14A	Mucin 14A	FBgn0052580	NM_167482	318097	GO:0005201|GO:0031012
103	FBgn0053258	7.46643831749947	2.11052196888398	0.647243090408424	3.26078717588503	0.00111103397190701	0.0297348394299594	1	CG33258	uncharacterized protein	FBgn0053258	NM_001038938	3885664	NA
104	FBgn0053463	37.3542862833284	-1.27280039692537	0.369968741065811	-3.44029172102126	0.000581087491484977	0.0189321550837309	-1	CG33463	uncharacterized protein	FBgn0053463	NM_206124	2768844	GO:0003674|GO:0005575|GO:0008150
